num_departement,commune,siret,denomination,nom,enseigne,adresse,date_creation,tranche_eff
44,GUERANDE,80238418000013,LES QUATRE SAISONS,LES QUATRE SAISONS,,12 Boulevard de l'Abreuvoir 44350 Guérande,2014,01
44,CROISIC (LE),82230945600017,SARL LES EMBRUNS BLEUS,SARL LES EMBRUNS BLEUS,,12 Avenue du Castouillet 44490 Le Croisic,2016,01
44,CROISIC (LE),81965563000013,HOTEL LES NIDS,HOTEL LES NIDS,HOTEL LES NIDS,15 Rue Pasteur 44490 Le Croisic,2016,01
44,NANTES,75341167700010,SATORI,SATORI,,11 Rue de Richebourg 44000 Nantes,2012,01
44,GUERANDE,38447233800043,BELLEC*FABRICE/,MONSIEUR FABRICE BELLEC,HOTEL RESTAURANT DES REMPARTS,14 Boulevard du Nord 44350 Guérande,1992,01
44,BAULE ESCOUBLAC (LA),53533278700014,MONA LISA,MONA LISA,,42 Avenue Georges Clémenceau 44500 La Baule-Escoublac,2011,01
44,NANTES,51792061700027,BEAUVILLAIN,BEAUVILLAIN,,6 Rue du Chemin Rouge 44300 Nantes,2009,01
44,MESQUER,50446635000015,SARL JMS,SARL JMS,LE RELAIS MARINE,276 Rue Centrale 44420 Mesquer,2008,01
44,CORSEPT,51931283900011,VALMARELI,VALMARELI,MANOIR DE L'ESPERANCE,L'Esperance 44560 Corsept,2010,01
44,CHATEAUBRIANT,80151990100012,MAUTEL,MAUTEL,LE QUAI 3,3 Rue de la Gare 44110 Châteaubriant,2014,01
44,SAINT HERBLAIN,82758072100013,LA GUILBAUDIERE,LA GUILBAUDIERE,,113 Boulevard Marcel Paul 44800 Saint-Herblain,2017,01
44,POULIGUEN (LE),83408098800019,CASA COSY,CASA COSY,,2 Rue du Croisic 44510 Le Pouliguen,2017,01
44,SAINT NAZAIRE,32794580400034,SOC FINANCIERE GESTION IMMOBILIERE,SOC FINANCIERE GESTION IMMOBILIERE,,1 Rue Michel Ange 44600 Saint-Nazaire,1983,00
44,ORVAULT,44177511100012,CADO*CHRISTIAN PIERRE/,MONSIEUR CHRISTIAN CADO,,129 Route de Rennes 44700 Orvault,2002,00
44,PORT SAINT PERE,39064807900023,BOUTEILLER,BOUTEILLER,,La Fontaine Saint Pere 44710 Port-Saint-Père,1993,00
44,POULIGUEN (LE),00587345000018,AUDUREAU*JEAN CLAUDE/,MONSIEUR JEAN AUDUREAU,,17 Quai Jules Sandeau 44510 Le Pouliguen,1958,00
44,SAVENAY,75400948800018,LES REFLETS DU LAC,LES REFLETS DU LAC,LES REFLETS DU LAC,Route du Lac 44260 Savenay,2012,00
44,PORNICHET,40883153500013,FENETRE SUR MER,FENETRE SUR MER,,104 Boulevard des Océanides 44380 Pornichet,1996,00
44,SAINT HERBLAIN,53405231100014,LE COLISEE,LE COLISEE,LE COLISEE,29 Rue Bobby Sands 44800 Saint-Herblain,2011,00
44,PORNICHET,79240385900012,BERTAUD*BONAMY/BRIGITTE NELLY JEANNE/,MADAME BRIGITTE BONAMY,LE DANICHEFF,45 Avenue du Général de Gaulle 44380 Pornichet,2013,00
44,PORT SAINT PERE,49171625400017,PELLERIN*DANIEL/,MONSIEUR DANIEL PELLERIN,,L'Aubinerie 44710 Port-Saint-Père,2006,
44,SAINT SEBASTIEN SUR LOIRE,32651754700047,FAYE*MATHIEU/,MONSIEUR MATHIEU FAYE,,10 Rue des Grands Noëls 44230 Saint-Sébastien-sur-Loire,1997,
44,LOUISFERT,50350690900020,MAYER*LE COAT/PATRICIA/,MADAME PATRICIA LE COAT,AUBERGE ARMORICAINE,4 Place de l'Eglise 44110 Louisfert,2008,
44,VERTOU,39042772200017,SARL MCM,SARL MCM,,Rue de la Rousselière 44120 Vertou,1993,
44,SAINT MICHEL CHEF CHEF,84982689600011,LES GRANDS CHEFS,LES GRANDS CHEFS,,7 Rue Joseph Grellier 44730 Saint-Michel-Chef-Chef,2019,
44,NANTES,84393436500019,HM SERVICES,HM SERVICES,,22 Mail Pablo Picasso 44000 Nantes,2018,
44,BAULE ESCOUBLAC (LA),83822652000016,TY GWENN HOTEL,TY GWENN HOTEL,TY GWENN,25 Avenue de la Grande Dune 44500 La Baule-Escoublac,2018,
44,CHAUMES EN RETZ,84100183700019,SAS CHATEAU DE NOIRBREUIL,SAS CHATEAU DE NOIRBREUIL,,Chateau du Bois Rouaud (Chéméré) 44680 Chaumes-en-Retz,2018,
44,NANTES,83508791700018,HO.ONE,HO ONE,,46 bis Rue des Hauts Pavés 44000 Nantes,2017,
44,NANTES,84247740800012,HDC,HDC,,11 Rue Guibal 44000 Nantes,2018,
44,CROISIC (LE),80030387700016,SASU MARIS STELLA,SASU MARIS STELLA,MARIS STELLA,1 Avenue Henri Becquerel 44490 Le Croisic,2014,
44,BAULE ESCOUBLAC (LA),88003269300017,HOTEL L'AMIRAUTE,HOTEL L AMIRAUTE,,138 Avenue des Ondines 44500 La Baule-Escoublac,2020,
44,PELLERIN (LE),88215822300017,LES PIEDS DANS L'EAU,LES PIEDS DANS L EAU,,11 Quai du Docteur Provost 44640 Le Pellerin,2020,
44,BERNERIE EN RETZ (LA),87823589400010,HOTEL DE NANTES,HOTEL DE NANTES,HOTEL DE NANTES,12 Rue Georges Clémenceau 44760 La Bernerie-en-Retz,2019,
44,NORT SUR ERDRE,79971528900010,MORISSET*EDITH/,MADAME EDITH MORISSET,,609 Le Plessis Pas Brunet 44390 Nort-sur-Erdre,2014,
44,LIMOUZINIERE (LA),78951054200010,PADIOLEAU*VINCENT/,MONSIEUR VINCENT PADIOLEAU,,24 Rue Charles de Gaulle 44310 La Limouzinière,2012,
44,NANTES,82228299200012,SAINT-JALMES*LIONEL RAYMOND YANNICK/,MONSIEUR LIONEL SAINT JALMES,GITE DU 15 RUE PERNO,22 Rue des Six Aqueducs 44100 Nantes,2016,
44,SAFFRE,82764318000017,L'ESCAMPETTE,L ESCAMPETTE,,Le Champion 44390 Saffré,2017,
44,PORNICHET,83026877700018,ADONIS BUDGET PORNICHET,ADONIS BUDGET PORNICHET,ADONIS BUDGET PORNICHET,5 Avenue du Gulf Stream 44380 Pornichet,2017,
44,BATZ SUR MER,82143369500029,SARL MIKA,SARL MIKA,HOTEL DES MARAIS SALANTS,22 Rue de la Gare 44740 Batz-sur-Mer,2016,
44,MAUVES SUR LOIRE,82161900400012,GARE AUX GOURMANDS,GARE AUX GOURMANDS,,3 Avenue de la Gare 44470 Mauves-sur-Loire,2016,
44,VERTOU,84476113000013,MORPHEE,MORPHEE,AKENA,5 Impasse de la Visonnière 44120 Vertou,2018,
